OD:595

Time	0:00:52	0:42:06	1:12:05	1:42:06	2:12:06	2:42:06	3:12:06	3:42:06	4:12:06	4:42:06	5:12:06	5:42:05	6:12:06	6:42:06	7:12:06	7:42:06	8:12:06	8:42:06	9:12:06	9:42:05	10:12:06	10:42:06	11:12:06	11:42:06	12:12:06	12:42:06	13:12:06	13:42:06	14:12:06	14:42:06	15:12:06	15:42:06	16:12:06	16:42:06	17:12:06	17:42:06	18:12:06	18:42:06	19:12:08	19:42:06	20:12:06	20:42:06	21:12:06	21:42:06	
T° OD:595	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.1	37.0	37.0	37.0	37.1	37.0	37.0	37.0	37.0	37.0	37.0	37.1	37.0	37.0	37.0	37.0	37.0	36.9	37.0	37.0	37.0	37.0	
A1	0.048	0.047	0.047	0.048	0.047	0.047	0.047	0.048	0.047	0.047	0.048	0.048	0.047	0.047	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	
A2	0.048	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.048	0.047	0.047	0.048	0.047	0.047	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	
A3	0.048	0.048	0.048	0.049	0.048	0.049	0.049	0.049	0.049	0.049	0.050	0.051	0.051	0.052	0.054	0.056	0.057	0.059	0.060	0.061	0.061	0.061	0.062	0.061	0.061	0.061	0.060	0.060	0.060	0.060	0.060	0.060	0.059	0.059	0.060	0.060	0.060	0.061	0.061	0.061	0.061	0.062	0.062	0.063	
A4	0.048	0.048	0.048	0.048	0.048	0.049	0.050	0.052	0.054	0.057	0.062	0.068	0.081	0.101	0.129	0.166	0.210	0.254	0.298	0.335	0.363	0.401	0.419	0.428	0.445	0.457	0.454	0.454	0.458	0.463	0.465	0.472	0.473	0.478	0.487	0.499	0.505	0.514	0.516	0.527	0.535	0.543	0.550	0.558	
A5	0.047	0.047	0.047	0.047	0.048	0.049	0.050	0.052	0.055	0.060	0.066	0.073	0.090	0.117	0.153	0.191	0.236	0.276	0.312	0.338	0.358	0.382	0.403	0.413	0.435	0.471	0.470	0.483	0.498	0.510	0.507	0.523	0.516	0.530	0.534	0.536	0.547	0.545	0.536	0.538	0.537	0.535	0.535	0.531	
A6	0.045	0.045	0.045	0.045	0.045	0.046	0.046	0.046	0.046	0.047	0.047	0.048	0.048	0.049	0.051	0.052	0.052	0.052	0.053	0.053	0.054	0.057	0.060	0.065	0.073	0.083	0.072	0.083	0.092	0.077	0.063	0.057	0.062	0.060	0.062	0.056	0.053	0.052	0.051	0.050	0.051	0.051	0.051	0.052	
A7	0.046	0.046	0.047	0.048	0.049	0.052	0.056	0.062	0.069	0.080	0.095	0.113	0.136	0.161	0.185	0.207	0.228	0.247	0.266	0.281	0.295	0.315	0.327	0.329	0.343	0.355	0.354	0.361	0.370	0.379	0.378	0.390	0.388	0.394	0.400	0.403	0.412	0.416	0.414	0.417	0.418	0.422	0.425	0.428	
A8	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.048	0.048	0.048	0.049	0.049	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.049	0.049	0.049	0.049	0.049	0.049	0.050	0.049	0.050	0.050	
A9	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.048	0.048	0.048	0.049	0.049	0.049	0.049	0.050	0.050	0.050	0.050	0.050	0.051	0.051	0.051	0.051	0.051	0.051	0.052	0.052	0.052	0.052	
