OD:595

Time	0:00:52	0:42:02	1:12:02	1:42:02	2:12:02	2:42:02	3:12:02	3:42:02	4:12:02	4:42:02	5:12:02	5:42:02	6:12:02	6:42:02	7:12:02	7:42:02	8:12:02	8:42:02	9:12:02	9:42:02	10:12:02	10:42:03	11:12:02	11:42:02	12:12:02	12:42:02	13:12:02	13:42:02	14:12:02	14:42:02	15:12:03	15:42:02	16:12:03	16:42:02	17:12:02	17:42:01	18:12:02	18:42:03	19:12:07	19:42:03	20:12:02	20:42:02	21:12:02	21:42:02	
T° OD:595	37.0	36.9	37.0	37.0	37.1	37.0	37.0	37.1	37.0	37.0	37.0	37.0	37.1	36.9	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	36.9	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.1	37.0	37.0	37.0	37.0	37.0	
A1	0.047	0.048	0.049	0.050	0.052	0.057	0.067	0.088	0.129	0.197	0.286	0.372	0.420	0.455	0.506	0.548	0.593	0.570	0.569	0.571	0.579	0.598	0.617	0.610	0.625	0.631	0.633	0.653	0.658	0.671	0.690	0.683	0.693	0.704	0.711	0.708	0.717	0.714	0.720	0.732	0.723	0.734	0.739	0.746	
A2	0.051	0.051	0.052	0.054	0.056	0.061	0.071	0.093	0.133	0.194	0.259	0.321	0.387	0.455	0.471	0.504	0.533	0.557	0.582	0.615	0.622	0.628	0.630	0.624	0.605	0.602	0.596	0.595	0.587	0.579	0.588	0.616	0.654	0.661	0.667	0.667	0.678	0.691	0.699	0.703	0.699	0.697	0.700	0.710	
A3	0.048	0.050	0.053	0.058	0.066	0.084	0.107	0.136	0.176	0.222	0.274	0.329	0.353	0.364	0.377	0.387	0.414	0.430	0.446	0.463	0.484	0.496	0.522	0.543	0.567	0.576	0.588	0.597	0.606	0.600	0.614	0.620	0.627	0.631	0.627	0.635	0.650	0.654	0.664	0.662	0.675	0.666	0.679	0.663	
A4	0.048	0.050	0.053	0.060	0.074	0.104	0.147	0.198	0.244	0.305	0.351	0.380	0.406	0.435	0.474	0.506	0.548	0.580	0.608	0.623	0.638	0.660	0.671	0.680	0.705	0.722	0.746	0.757	0.756	0.756	0.774	0.783	0.807	0.810	0.787	0.797	0.825	0.835	0.847	0.832	0.855	0.849	0.861	0.843	
A5	0.048	0.049	0.052	0.058	0.071	0.097	0.131	0.173	0.228	0.306	0.349	0.388	0.425	0.479	0.528	0.558	0.590	0.607	0.605	0.592	0.575	0.573	0.563	0.568	0.574	0.572	0.576	0.582	0.582	0.579	0.586	0.585	0.588	0.591	0.592	0.594	0.596	0.603	0.605	0.607	0.606	0.605	0.605	0.603	
A6	0.047	0.048	0.048	0.049	0.050	0.053	0.056	0.060	0.066	0.077	0.093	0.119	0.160	0.192	0.237	0.268	0.313	0.345	0.376	0.405	0.427	0.442	0.455	0.470	0.485	0.486	0.492	0.505	0.511	0.516	0.529	0.527	0.531	0.530	0.529	0.533	0.535	0.534	0.532	0.531	0.539	0.532	0.533	0.524	
A7	0.049	0.052	0.056	0.066	0.085	0.123	0.178	0.245	0.302	0.358	0.369	0.382	0.403	0.445	0.492	0.530	0.554	0.574	0.604	0.612	0.631	0.651	0.653	0.665	0.675	0.679	0.690	0.706	0.716	0.723	0.733	0.737	0.730	0.727	0.742	0.746	0.746	0.756	0.762	0.779	0.776	0.796	0.819	0.829	
A8	0.048	0.049	0.050	0.051	0.054	0.059	0.067	0.082	0.102	0.130	0.164	0.196	0.223	0.251	0.283	0.318	0.353	0.421	0.478	0.528	0.556	0.568	0.584	0.590	0.591	0.591	0.592	0.595	0.598	0.595	0.598	0.602	0.605	0.608	0.614	0.615	0.625	0.634	0.637	0.639	0.648	0.649	0.639	0.638	
A9	0.048	0.048	0.049	0.051	0.056	0.067	0.087	0.125	0.174	0.223	0.275	0.324	0.359	0.389	0.414	0.440	0.468	0.488	0.506	0.522	0.536	0.548	0.560	0.569	0.578	0.583	0.590	0.600	0.609	0.617	0.630	0.640	0.650	0.663	0.668	0.671	0.673	0.682	0.689	0.699	0.710	0.713	0.715	0.717	
A10	0.048	0.048	0.048	0.049	0.050	0.051	0.053	0.056	0.064	0.077	0.103	0.127	0.176	0.220	0.282	0.371	0.422	0.426	0.366	0.386	0.446	0.472	0.527	0.560	0.571	0.593	0.596	0.595	0.572	0.565	0.561	0.561	0.558	0.555	0.546	0.536	0.523	0.513	0.509	0.506	0.503	0.502	0.498	0.498	
A11	0.058	0.061	0.067	0.075	0.093	0.125	0.170	0.222	0.265	0.306	0.341	0.371	0.398	0.420	0.445	0.464	0.483	0.499	0.521	0.515	0.522	0.546	0.525	0.542	0.546	0.536	0.532	0.536	0.526	0.514	0.515	0.500	0.487	0.479	0.468	0.458	0.448	0.437	0.431	0.421	0.411	0.403	0.397	0.392	
A12	0.047	0.048	0.051	0.057	0.072	0.107	0.162	0.231	0.281	0.348	0.409	0.480	0.523	0.550	0.581	0.603	0.625	0.641	0.659	0.664	0.689	0.704	0.715	0.728	0.743	0.752	0.765	0.780	0.793	0.795	0.796	0.793	0.784	0.776	0.773	0.765	0.761	0.754	0.723	0.753	0.752	0.762	0.759	0.771	
B1	0.048	0.048	0.048	0.049	0.050	0.053	0.058	0.069	0.090	0.126	0.172	0.229	0.301	0.388	0.434	0.482	0.524	0.564	0.596	0.611	0.630	0.650	0.652	0.657	0.658	0.653	0.651	0.650	0.648	0.644	0.649	0.649	0.659	0.663	0.669	0.672	0.680	0.684	0.693	0.701	0.702	0.710	0.711	0.716	
B2	0.047	0.048	0.048	0.049	0.051	0.053	0.057	0.064	0.075	0.095	0.128	0.165	0.205	0.240	0.275	0.300	0.327	0.368	0.399	0.430	0.452	0.463	0.482	0.492	0.493	0.509	0.513	0.519	0.525	0.531	0.534	0.541	0.547	0.548	0.560	0.556	0.565	0.568	0.570	0.576	0.577	0.582	0.586	0.588	
B3	0.047	0.047	0.048	0.049	0.051	0.055	0.062	0.074	0.098	0.136	0.184	0.235	0.284	0.338	0.378	0.408	0.429	0.451	0.468	0.481	0.486	0.487	0.494	0.499	0.500	0.505	0.508	0.509	0.506	0.510	0.509	0.510	0.513	0.512	0.515	0.515	0.516	0.519	0.521	0.523	0.524	0.526	0.525	0.531	
B4	0.051	0.054	0.055	0.057	0.060	0.066	0.077	0.098	0.129	0.171	0.215	0.258	0.302	0.327	0.342	0.352	0.362	0.365	0.376	0.379	0.388	0.401	0.404	0.416	0.427	0.433	0.443	0.451	0.452	0.451	0.462	0.466	0.477	0.481	0.490	0.491	0.499	0.504	0.508	0.512	0.514	0.517	0.516	0.519	
B5	0.046	0.047	0.049	0.050	0.054	0.060	0.073	0.097	0.136	0.178	0.218	0.265	0.305	0.337	0.362	0.381	0.398	0.412	0.430	0.430	0.437	0.454	0.450	0.460	0.464	0.462	0.463	0.468	0.460	0.455	0.459	0.456	0.457	0.453	0.456	0.458	0.458	0.459	0.464	0.461	0.469	0.468	0.469	0.469	
B6	0.038	0.049	0.051	0.052	0.056	0.063	0.076	0.099	0.133	0.174	0.212	0.252	0.294	0.350	0.371	0.394	0.418	0.442	0.458	0.471	0.481	0.500	0.501	0.512	0.524	0.536	0.546	0.557	0.567	0.576	0.589	0.596	0.605	0.612	0.620	0.627	0.635	0.638	0.641	0.642	0.642	0.642	0.643	0.643	
B7	0.038	0.047	0.048	0.048	0.049	0.050	0.053	0.056	0.064	0.074	0.087	0.107	0.133	0.161	0.183	0.211	0.248	0.292	0.293	0.310	0.321	0.342	0.366	0.388	0.406	0.429	0.433	0.427	0.423	0.426	0.431	0.435	0.442	0.444	0.439	0.436	0.433	0.428	0.427	0.426	0.430	0.435	0.428	0.429	
B8	0.041	0.050	0.054	0.061	0.077	0.105	0.181	0.190	0.259	0.294	0.338	0.360	0.381	0.401	0.431	0.456	0.481	0.500	0.516	0.532	0.545	0.556	0.565	0.569	0.568	0.568	0.566	0.563	0.563	0.560	0.558	0.554	0.550	0.546	0.542	0.537	0.534	0.532	0.529	0.526	0.524	0.520	0.517	0.517	
B9	0.038	0.049	0.051	0.053	0.058	0.065	0.079	0.104	0.143	0.201	0.218	0.257	0.304	0.363	0.407	0.423	0.453	0.482	0.509	0.540	0.566	0.562	0.570	0.574	0.574	0.571	0.575	0.568	0.556	0.545	0.536	0.526	0.515	0.504	0.494	0.484	0.476	0.466	0.461	0.453	0.445	0.439	0.434	0.430	
B10	0.039	0.050	0.053	0.059	0.071	0.098	0.178	0.250	0.258	0.289	0.376	0.376	0.386	0.399	0.407	0.421	0.443	0.465	0.479	0.493	0.501	0.518	0.519	0.525	0.514	0.499	0.499	0.506	0.510	0.513	0.523	0.529	0.531	0.531	0.528	0.529	0.528	0.530	0.531	0.531	0.532	0.531	0.528	0.525	
